Agent,Episode,Stage,Action,Reward_Step,Raw_WRS,Raw_DIE,Penalty_Fairness
Q-Learning (WRS),0,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),0,2,m_textblob,-1.4,1.2999999999999998,0.0,1.2999999999999998
Q-Learning (WRS),1,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),1,2,m_textblob,-1.4,1.2999999999999998,0.0,1.2999999999999998
Q-Learning (WRS),2,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),2,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),3,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),3,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),4,1,trans_danish,-0.5,0.0,0.0,0.0
Q-Learning (WRS),4,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),5,1,trans_spanish,-0.5,0.0,0.0,0.0
Q-Learning (WRS),5,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),6,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),6,2,m_textblob,-0.7,0.6,0.0,0.6
Q-Learning (WRS),7,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),7,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),8,1,trans_danish,-0.5,0.0,0.0,0.0
Q-Learning (WRS),8,2,m_textblob,-0.7,0.6,0.0,0.6
Q-Learning (WRS),9,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),9,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),10,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),10,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),11,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),11,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),12,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),12,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),13,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),13,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),14,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),14,2,m_textblob,-1.4,1.2999999999999998,0.0,1.2999999999999998
Q-Learning (WRS),15,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),15,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),16,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),16,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),17,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),17,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),18,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),18,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),19,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),19,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),20,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),20,2,m_bf,-2.4,2.3,0.0,2.3
Q-Learning (WRS),21,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),21,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),22,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),22,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),23,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),23,2,m_textblob,-1.4,1.2999999999999998,0.0,1.2999999999999998
Q-Learning (WRS),24,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),24,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),25,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),25,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),26,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),26,2,m_textblob,-1.4,1.2999999999999998,0.0,1.2999999999999998
Q-Learning (WRS),27,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),27,2,m_textblob,-1.4,1.2999999999999998,0.0,1.2999999999999998
Q-Learning (WRS),28,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),28,2,m_textblob,-1.4,1.2999999999999998,0.0,1.2999999999999998
Q-Learning (WRS),29,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),29,2,m_random,-1.4,1.2999999999999998,0.0,1.2999999999999998
Q-Learning (WRS),30,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),30,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),31,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),31,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),32,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),32,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),33,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),33,2,m_textblob,-1.4,1.2999999999999998,0.0,1.2999999999999998
Q-Learning (WRS),34,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),34,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),35,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),35,2,m_textblob,-1.4,1.2999999999999998,0.0,1.2999999999999998
Q-Learning (WRS),36,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),36,2,m_textblob,-1.4,1.2999999999999998,0.0,1.2999999999999998
Q-Learning (WRS),37,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),37,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),38,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),38,2,m_random,-1.4,1.2999999999999998,0.0,1.2999999999999998
Q-Learning (WRS),39,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),39,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),40,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),40,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),41,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),41,2,m_textblob,-1.4,1.2999999999999998,0.0,1.2999999999999998
Q-Learning (WRS),42,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),42,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),43,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),43,2,m_textblob,-1.4,1.2999999999999998,0.0,1.2999999999999998
Q-Learning (WRS),44,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),44,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),45,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),45,2,m_gru,-0.1,0.0,0.0,0.0
Q-Learning (WRS),46,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),46,2,m_textblob,-2.4,2.3,0.0,2.3
Q-Learning (WRS),47,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),47,2,m_textblob,-1.4,1.2999999999999998,0.0,1.2999999999999998
Q-Learning (WRS),48,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),48,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),49,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),49,2,m_random,-0.1,0.0,0.0,0.0
Q-Learning (WRS),50,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),50,2,m_textblob,-1.4,1.2999999999999998,0.0,1.2999999999999998
Q-Learning (WRS),51,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),51,2,m_textblob,-1.4,1.2999999999999998,0.0,1.2999999999999998
Q-Learning (WRS),52,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),52,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),53,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),53,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),54,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),54,2,m_textblob,-0.7,0.6,0.0,0.6
Q-Learning (WRS),55,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),55,2,m_textblob,-0.1,0.0,0.0,0.0
Q-Learning (WRS),56,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),56,2,m_textblob,-0.7,0.6,0.0,0.6
