Agent,Episode,Stage,Action,Reward_Step,Raw_WRS,Raw_ATE,Raw_DIE,Penalty_Fairness
Q-Learning (WRS Only),0,1,m4,-3.021956936974269,0.37257156694744686,0.19386086528231497,0.011742496016147519,3.9605655897974192
Q-Learning (WRS Only),0,2,m4,-6.628136485870652,0.6974374197693823,0.1775080819870238,0.04644215540235333,7.90321730574089
Q-Learning (WRS Only),0,3,m2,-11.301153913898307,0.9904018247717704,0.1292886280180138,0.10950109731803709,12.094040194078445
Q-Learning (WRS Only),0,4,m4,-11.306814390420023,0.963468252227194,0.10837965585384907,0.1127964213343286,11.890610948958514
Q-Learning (WRS Only),0,5,m4,-12.759472703266127,1.0239528980226467,0.07826160175312816,0.14012798702854715,13.042088720797409
Q-Learning (WRS Only),0,6,m4,-13.4313027217978,1.053363082378956,0.0671195581710987,0.15344337398596147,13.602498303508789
Q-Learning (WRS Only),0,7,m2,-14.340978761794428,1.1095518842307237,0.05902316153396932,0.16678457674134423,14.431210377134121
Q-Learning (WRS Only),0,8,m2,-14.017374350119434,1.1084690044127143,0.06756526886212248,0.15541684973067582,14.19302703874066
Q-Learning (WRS Only),0,9,m4,-11.266026744948501,0.883489770799972,0.05729652111648192,0.12520471240567996,11.33899195611332
Q-Learning (WRS Only),0,10,m4,-12.890497927391358,1.01040466235693,0.06126458722455329,0.1449548588033796,13.003143799636891
Q-Learning (WRS Only),0,11,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),0,12,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),0,13,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),0,14,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),0,15,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),1,1,m4,-3.1940684593539093,0.3927008730157685,0.1984132917267271,0.012559632323174752,4.17820137662118
Q-Learning (WRS Only),1,2,m4,-6.557004361499382,0.7125675515969128,0.18198463987108504,0.03755876221205515,7.876850760210231
Q-Learning (WRS Only),1,3,m2,-10.98950269169654,0.9937117290840702,0.1275097330431115,0.09137413656434765,11.764600022127656
Q-Learning (WRS Only),1,4,m4,-11.600755287779963,1.0024332856228622,0.09691680642227742,0.10227952478870579,12.069923352002737
Q-Learning (WRS Only),1,5,m4,-13.078168439865307,1.0780016194665023,0.0697055371716965,0.12476038084586238,13.275223811582272
Q-Learning (WRS Only),1,6,m4,-13.492527069318449,1.1274540663890413,0.07545205247719346,0.12362534650999847,13.747047594090382
Q-Learning (WRS Only),1,7,m2,-14.52702249520627,1.1896568080415713,0.06571717819032075,0.13938130983468822,14.684194277109476
Q-Learning (WRS Only),1,8,m2,-14.223066753561369,1.1674198718230069,0.06350770437312994,0.13419725395312995,14.35814379729267
Q-Learning (WRS Only),1,9,m4,-11.417171441851714,0.9257345737092179,0.05492042957534498,0.1104515000256493,11.466375737605164
Q-Learning (WRS Only),1,10,m4,-12.711647132100437,1.0548089504002962,0.07326039936835607,0.11980808108905172,12.944251125783998
Q-Learning (WRS Only),1,11,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),1,12,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),1,13,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),1,14,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),1,15,None,0.0,0.0,0.0,0.0,0.0
Q-Learning (WRS Only),2,1,m4,-3.3786800912172708,0.40842051062678064,0.1920087359313125,0.010728117213129496,4.298767450530396
Q-Learning (WRS Only),2,2,m4,-6.531084722463599,0.6965620135442735,0.17278230067456668,0.03966437968832659,7.758907729209266
Q-Learning (WRS Only),2,3,m2,-10.858625489006752,0.9554083209423228,0.1342655145193962,0.1073598712388743,11.701280634200714
Q-Learning (WRS Only),2,4,m4,-10.900043093097333,0.9130134352486383,0.10779149592710865,0.11739118499410181,11.47795805236842
Q-Learning (WRS Only),2,5,m4,-12.700020736906222,1.0069739405433462,0.07520889573300331,0.14411851444013957,12.952109694236254
Q-Learning (WRS Only),2,6,m4,-12.846260258640548,1.0190038920093634,0.08079703150112945,0.1482095826779104,13.154230573651843
