Agent,Episode,Stage,Action,Reward_Step,Raw_WRS,Raw_ATE,Raw_DIE,Penalty_Fairness
Q-Learning (WRS Only),0,1,m6,-4.267516199498111,0.535806923378527,0.22812862291577995,0.009536659743532044,5.548802428655911
Q-Learning (WRS Only),0,2,m12,-8.132872839921616,0.8461195879176451,0.17661124649504353,0.046889471284779966,9.39898530487205
Q-Learning (WRS Only),0,3,m12,-10.03251768940079,0.8873112488723967,0.09945076989553862,0.0826956449816104,10.527025388356176
Q-Learning (WRS Only),0,4,m4,-9.787428132839752,0.8526514198559927,0.08596293858559119,0.0810271660067869,10.147057518695664
Q-Learning (WRS Only),0,5,m14,-11.04461736122958,0.9414351169209143,0.07247205464544121,0.09274933692374246,11.269337907683992
Q-Learning (WRS Only),0,6,m6,-13.613468837629183,1.1287144591574862,0.06802032107636466,0.1253263728408984,13.79367204839283
Q-Learning (WRS Only),0,7,m10,-12.758496601306856,1.0477060420019924,0.0561419703333994,0.11714279423104632,12.81991630464085
Q-Learning (WRS Only),0,8,m10,-14.564474610097012,1.1885050373631174,0.05577659125592959,0.13685950745125666,14.622240522656307
Q-Learning (WRS Only),0,9,m8,-14.646131817432611,1.17995112576344,0.041499175449726165,0.13808061571477365,14.561123571929873
Q-Learning (WRS Only),0,10,m4,-12.732894601632923,1.0296250661991047,0.04205122795057341,0.11785781095738061,12.653406881138658
Q-Learning (WRS Only),0,11,m8,-14.140048653862783,1.1505929345697277,0.051830221644668974,0.1326210762306098,14.158350870309473
Q-Learning (WRS Only),0,12,m8,-14.381542848531964,1.1561888948090433,0.042597172590659794,0.13728128131740647,14.307514574438562
Q-Learning (WRS Only),0,13,m8,-12.756573375797704,1.0179205624167778,0.03726516968643787,0.12250097242471522,12.629225072662082
Q-Learning (WRS Only),0,14,m10,-14.822473662636604,1.188432373111592,0.04462953897753475,0.1442222660648015,14.768769052411951
Q-Learning (WRS Only),0,15,m14,-12.132876309245411,0.9553287622670377,0.028274571554618703,0.11811672010606106,11.915622024791599
Q-Learning (WRS Only),0,16,m12,-13.19968129701006,1.0859178404836927,0.052709379320335585,0.1183798342688244,13.226775090213415
Q-Learning (WRS Only),0,17,m8,-12.961715998965024,1.042555966508841,0.04175861375323623,0.12268712357044884,12.879302136497387
