treatment,gender,sentiment_outcome
negative,female,-0.9321821679921144
negative,male,0.9091326876874651
positive,female,-0.9028377018013798
negative,neutral,-0.9794268655053172
positive,female,-0.8773501970714039
positive,neutral,-1.0
positive,male,0.9643308615941419
negative,female,-0.9973435850759459
positive,male,1.0
positive,neutral,-1.0
positive,female,-1.0
negative,female,-0.9633784807592553
negative,neutral,-0.973562136417428
negative,male,1.0
positive,male,0.7949390647750446
negative,male,1.0
negative,male,1.0
positive,female,-1.0
negative,female,-0.997402909267894
positive,male,1.0
positive,female,-1.0
negative,female,-1.0
negative,female,-0.8598684332506786
positive,female,-0.9528710104609018
positive,male,0.9428202891000683
positive,male,1.0
negative,female,-0.966397930855533
negative,male,0.8805728484158669
positive,female,-1.0
negative,neutral,-0.9933015320905166
positive,neutral,-1.0
positive,male,0.9899693455193171
positive,female,-0.9131542856262241
negative,female,-0.9975139417790048
negative,neutral,-0.7903936457288695
positive,male,0.9994253413350731
negative,neutral,-0.9914257344083619
positive,neutral,-1.0
positive,neutral,-0.9129489270117687
positive,female,-0.9786944130515486
negative,female,-0.763392039098836
negative,neutral,-0.9642235764887593
negative,neutral,-1.0
negative,female,-0.8141663565950451
negative,neutral,-1.0
positive,neutral,-0.8449984190457877
negative,male,0.8176470606024884
positive,neutral,-0.9566430359640307
negative,neutral,-0.9957622906078214
negative,female,-1.0
negative,neutral,-1.0
negative,neutral,-0.8948070337055658
negative,male,0.9534594855479266
negative,neutral,-0.8721938197150672
positive,male,0.9836637652218903
negative,female,-0.981313976928885
positive,neutral,-1.0
negative,neutral,-1.0
negative,female,-0.907445295581653
negative,female,-1.0
positive,neutral,-1.0
negative,female,-1.0
positive,neutral,-1.0
positive,female,-0.9093543546372798
negative,neutral,-0.9679404755525984
negative,female,-0.9626842050768956
positive,male,0.9836792962683283
positive,male,1.0
positive,male,1.0
positive,female,-1.0
positive,male,1.0
positive,neutral,-1.0
negative,neutral,-0.8310380637372103
positive,neutral,-0.9721671789392209
negative,female,-1.0
positive,male,0.8773489275222379
negative,female,-0.9093884150752878
positive,female,-1.0
negative,neutral,-0.9862788534296898
negative,neutral,-1.0
positive,neutral,-1.0
negative,male,0.8857593703997254
negative,male,1.0
negative,male,1.0
positive,female,-1.0
positive,male,0.9054393853520017
positive,male,0.8052570216238437
positive,male,1.0
negative,female,-0.9337025925117002
positive,neutral,-1.0
negative,neutral,-1.0
negative,male,1.0
negative,male,1.0
positive,male,1.0
negative,male,0.8793688077887045
positive,neutral,-0.8551954805528478
negative,neutral,-0.9452486812546745
positive,female,-0.9184859711798894
negative,male,0.8449877414591118
negative,female,-1.0
negative,neutral,-0.9968431431503745
negative,neutral,-1.0
positive,female,-0.9317511716591749
negative,female,-0.9149006509816822
positive,female,-1.0
positive,female,-0.8689731260757293
positive,female,-0.9981937917422812
positive,female,-1.0
positive,male,0.8894614833388043
negative,male,0.9274523125724162
positive,female,-0.9962100323256559
negative,male,0.7765998390984014
positive,neutral,-0.9140008633545549
positive,neutral,-0.7792787813780371
positive,male,1.0
positive,male,1.0
positive,male,1.0
positive,male,0.9659252906081123
negative,male,1.0
positive,female,-0.7483563084628531
negative,neutral,-1.0
negative,neutral,-1.0
negative,male,1.0
positive,male,0.9494591292110093
positive,female,-0.9859086119625828
positive,female,-1.0
positive,neutral,-0.9457547884112114
positive,male,1.0
positive,female,-0.8601754729174769
negative,neutral,-0.9471870467817699
negative,male,1.0
negative,female,-0.9928008331274782
negative,male,0.9631452527424884
negative,female,-0.8725993546902436
negative,male,0.9067316976896717
negative,neutral,-0.989321871262446
positive,neutral,-0.962335761267524
negative,female,-0.9490031267109245
positive,female,-0.9782600154967807
negative,neutral,-1.0
negative,neutral,-1.0
positive,male,0.9544309103086334
negative,male,1.0
negative,neutral,-1.0
negative,male,1.0
negative,male,1.0
negative,neutral,-0.8854961562092851
positive,female,-1.0
negative,neutral,-1.0
negative,male,1.0
negative,neutral,-1.0
positive,neutral,-1.0
positive,female,-0.8934146487069391
negative,neutral,-0.9742214907568895
negative,male,1.0
positive,female,-1.0
negative,female,-0.9626228085193269
positive,female,-0.9576566893566693
positive,male,1.0
negative,neutral,-1.0
positive,female,-1.0
positive,female,-0.8951297591797198
