treatment,gender,sentiment_outcome
negative,male,1.0
negative,female,1.0
negative,male,1.0
positive,male,0.8981126449160136
positive,neutral,0.9488040490451148
positive,neutral,1.0
positive,neutral,1.0
negative,neutral,1.0
negative,neutral,1.0
negative,female,1.0
negative,male,0.9091742487032327
negative,male,1.0
negative,male,1.0
negative,neutral,0.9578224356115567
negative,neutral,0.9935517112173108
negative,male,1.0
positive,neutral,0.9374090979005641
negative,male,1.0
positive,neutral,1.0
negative,female,1.0
positive,neutral,0.9143264402869407
negative,neutral,1.0
negative,neutral,0.9788923967150037
negative,female,0.8844315158829085
negative,male,0.9288559228237614
positive,female,1.0
positive,neutral,0.986189038166671
negative,neutral,1.0
negative,male,0.7835218912326847
positive,male,0.9390611803573242
negative,neutral,1.0
negative,neutral,0.7647446690759194
positive,male,1.0
positive,female,1.0
negative,female,0.8457686138076195
positive,male,0.9705812209237874
positive,female,0.9610080340182794
positive,male,1.0
positive,neutral,1.0
positive,neutral,0.97074834037053
positive,male,0.8885257576398504
negative,female,0.894803805706883
negative,male,1.0
positive,neutral,1.0
positive,female,0.9324004247668161
negative,male,1.0
negative,neutral,1.0
positive,neutral,1.0
negative,male,0.9519015778558517
positive,female,0.8960032247598241
positive,male,0.9947245134389954
negative,neutral,1.0
negative,neutral,0.8735083037743243
negative,male,0.8004904993374918
negative,male,1.0
negative,male,1.0
negative,neutral,0.961258695110676
negative,female,1.0
negative,neutral,1.0
positive,female,1.0
negative,male,0.8538869242752084
positive,male,0.8998891146390906
negative,neutral,1.0
positive,neutral,1.0
negative,neutral,1.0
positive,female,0.9992415955653491
positive,male,1.0
negative,neutral,1.0
negative,neutral,0.9831514822703192
negative,male,1.0
positive,female,1.0
positive,neutral,0.9920509786049865
negative,neutral,0.9180516069476186
negative,female,1.0
negative,male,1.0
positive,neutral,0.8603595184996728
negative,male,0.8895777843804675
positive,male,0.9876834072543149
positive,neutral,0.9732315979682
negative,neutral,1.0
positive,female,1.0
negative,male,1.0
positive,neutral,0.9735211586840815
negative,neutral,0.9606126157866859
negative,female,1.0
negative,neutral,0.9664110394805553
positive,neutral,0.9973180427806771
negative,neutral,1.0
negative,male,1.0
negative,female,0.9701634374386237
positive,male,1.0
positive,neutral,1.0
positive,male,1.0
negative,female,0.8478086064982768
positive,neutral,0.7422512311078147
negative,male,1.0
positive,female,0.9947292328085174
negative,male,0.9135893974612496
negative,female,0.8599074599754848
negative,female,1.0
positive,female,0.9350526176164277
positive,neutral,0.8755357397058041
negative,female,0.86014615741305
positive,male,1.0
positive,neutral,1.0
negative,female,0.9991117517414534
negative,male,0.9995999323131782
positive,female,1.0
negative,neutral,0.7875252785101569
positive,female,0.9781100179293738
positive,male,1.0
negative,neutral,0.9469969461378368
negative,female,1.0
negative,neutral,1.0
positive,neutral,1.0
positive,female,0.9157320810187317
positive,male,0.8424274355376333
positive,female,0.9671681910173351
positive,male,1.0
negative,male,0.7073814860046865
positive,female,1.0
positive,male,0.9188968054281164
positive,female,1.0
positive,male,1.0
positive,female,0.9210675049025222
positive,male,1.0
negative,female,0.9341608205510689
positive,male,1.0
negative,male,1.0
positive,male,1.0
negative,neutral,0.8876634259173197
negative,female,1.0
negative,male,1.0
positive,neutral,0.9589088350545671
positive,male,1.0
positive,male,0.9477792315671352
negative,neutral,0.9986086570366455
positive,female,0.8422987349864639
negative,male,1.0
positive,male,1.0
positive,male,1.0
positive,neutral,0.855216679052335
negative,female,1.0
negative,female,0.9514044991181613
negative,male,0.7569901079892284
positive,male,1.0
negative,female,0.9307570376701819
negative,male,1.0
negative,neutral,1.0
negative,female,1.0
negative,male,1.0
negative,neutral,1.0
negative,female,0.860142674789041
positive,male,1.0
negative,neutral,0.9938986961948161
negative,neutral,0.9453416117865033
positive,female,0.8939357122030938
positive,female,0.9141867441679566
positive,female,1.0
positive,female,1.0
negative,female,1.0
negative,female,0.8358319950926814
negative,male,0.8963540652699539
negative,neutral,1.0
positive,male,0.8047116304608386
negative,female,1.0
positive,male,0.9709411350458318
positive,female,1.0
positive,male,0.9398294816544328
positive,neutral,1.0
negative,female,1.0
positive,female,1.0
negative,male,1.0
positive,male,0.9638654227439633
positive,male,0.8292929495995797
negative,neutral,0.8903704953670754
positive,male,1.0
positive,neutral,0.9105681088122747
positive,neutral,0.8735719973703584
negative,female,1.0
positive,male,1.0
negative,female,1.0
negative,female,0.9143310247370506
negative,female,0.8872364780193469
negative,female,1.0
negative,female,1.0
positive,male,0.8133551873867608
positive,neutral,0.8841251977297363
positive,neutral,0.8312806945594682
negative,male,1.0
negative,female,1.0
negative,female,0.8960526247007657
negative,male,0.9069995248217196
negative,neutral,0.9870955906410525
positive,female,1.0
positive,female,1.0
positive,female,1.0
negative,female,0.9087974498882609
positive,female,0.9432041243877658
negative,neutral,1.0
negative,male,1.0
positive,male,1.0
negative,neutral,0.9697680228449466
negative,neutral,0.9867777924648687
positive,male,1.0
positive,neutral,0.9749178482132099
positive,neutral,1.0
positive,neutral,1.0
negative,male,0.7458913528118305
positive,male,1.0
negative,female,1.0
positive,neutral,1.0
positive,female,1.0
positive,female,0.9856592937488613
negative,female,1.0
negative,neutral,1.0
positive,female,1.0
positive,female,0.9762959463893774
positive,male,0.9624928297128369
negative,male,1.0
positive,male,0.8762955119218858
negative,female,1.0
negative,male,1.0
positive,neutral,0.9216727777539455
positive,male,1.0
negative,neutral,1.0
positive,female,0.9263329410762318
negative,neutral,0.8648309189573093
positive,male,0.8550207570434489
positive,female,0.9681078192891212
negative,male,0.9518350945390418
negative,female,0.9706575541644483
positive,male,1.0
negative,male,0.949160295183051
positive,male,1.0
positive,male,1.0
positive,male,1.0
positive,neutral,1.0
positive,female,0.9248933768541847
negative,male,0.9454940385641117
negative,neutral,0.9380285019344524
negative,male,0.9396662429312391
positive,male,1.0
positive,neutral,0.9768582578023375
negative,neutral,0.9905146773888712
negative,neutral,0.8601934919468011
negative,male,1.0
negative,male,0.9474706150466653
positive,neutral,1.0
positive,neutral,0.9500900549560388
negative,female,1.0
negative,male,1.0
negative,female,0.8824112356736954
positive,neutral,0.9782673473997041
positive,male,1.0
negative,neutral,1.0
negative,male,0.931892891712808
positive,female,1.0
negative,neutral,1.0
negative,neutral,0.901349262002782
negative,male,0.9597211030433037
positive,female,0.9050577706098121
negative,female,1.0
negative,male,1.0
positive,female,0.948803436054196
positive,male,1.0
negative,neutral,1.0
negative,male,0.8900370422685445
negative,neutral,1.0
positive,male,1.0
positive,female,0.9705098862620706
positive,female,0.8821737608083702
positive,neutral,1.0
negative,female,1.0
negative,female,1.0
positive,male,1.0
positive,female,1.0
negative,neutral,1.0
