Agent,Episode,Stage,Action,Reward_Step,Raw_WRS,Raw_DIE,Penalty_Fairness
Q-Learning (WRS),0,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),0,2,m_textblob,-0.1993333333333334,0.00993333333333334,0.0,0.09933333333333338
Q-Learning (WRS),1,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),1,2,m_textblob,-0.18352542372881353,0.008352542372881352,0.0,0.08352542372881352
Q-Learning (WRS),2,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),2,2,m_bf,-8.5,0.84,0.0,8.4
Q-Learning (WRS),3,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),3,2,m_textblob,-0.2268571428571429,0.01268571428571429,0.0,0.1268571428571429
Q-Learning (WRS),4,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),4,2,m_textblob,-0.23876923076923076,0.013876923076923077,0.0,0.13876923076923076
Q-Learning (WRS),5,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),5,2,m_textblob,-0.15257575757575756,0.005257575757575756,0.0,0.05257575757575756
Q-Learning (WRS),6,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),6,2,m_textblob,-0.1682424242424242,0.0068242424242424184,0.0,0.06824242424242419
Q-Learning (WRS),7,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),7,2,m_textblob,-0.14430769230769233,0.004430769230769232,0.0,0.04430769230769232
Q-Learning (WRS),8,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),8,2,m_textblob,-0.2153684210526316,0.01153684210526316,0.0,0.11536842105263159
Q-Learning (WRS),9,1,trans_spanish,-0.5,0.0,0.0,0.0
Q-Learning (WRS),9,2,m_textblob,-0.190030303030303,0.0090030303030303,0.0,0.09003030303030299
Q-Learning (WRS),10,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),10,2,m_textblob,-0.2093134328358209,0.01093134328358209,0.0,0.1093134328358209
Q-Learning (WRS),11,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),11,2,m_textblob,-0.17722580645161295,0.0077225806451612965,0.0,0.07722580645161296
Q-Learning (WRS),12,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),12,2,m_textblob,-0.17113793103448274,0.0071137931034482745,0.0,0.07113793103448274
Q-Learning (WRS),13,1,trans_danish,-0.5,0.0,0.0,0.0
Q-Learning (WRS),13,2,m_textblob,-0.18638805970149253,0.008638805970149254,0.0,0.08638805970149253
Q-Learning (WRS),14,1,trans_none,0.0,0.0,0.0,0.0
Q-Learning (WRS),14,2,m_textblob,-0.21923076923076923,0.011923076923076922,0.0,0.11923076923076922
